customer_id,full_name,date_of_birth,primary_contact,registered_country,consent_retail_personalisation,consent_cross_division_financial_view,created_date
1,Allison Hill,1965-10-06,+234706713773,Nigeria,False,True,2020-07-25
2,Brian Yang,1987-09-09,+233881650134,Ghana,False,False,2025-08-15
3,Javier Johnson,1965-06-15,+234707998630,Nigeria,True,True,2025-10-01
4,Lance Hoffman,1999-04-20,+234753375074,Nigeria,False,False,2023-09-15
5,Kimberly Robinson,1990-09-04,+234858179802,Nigeria,True,False,2020-10-15
6,Sean Blake,1961-06-10,+234791335303,Nigeria,True,True,2022-10-10
7,Gina Moore,2002-07-13,+234801985959,Nigeria,True,False,2025-10-08
8,Brandon Davis,2008-03-31,+234711663638,Nigeria,False,False,2023-03-31
9,Dennis Williams,1981-11-03,+234778699444,Nigeria,False,False,2023-01-21
10,Valerie Gray,1988-02-22,+234889132063,Nigeria,True,False,2022-03-31
11,Mark Mcclure,1975-03-09,+254762489327,Kenya,False,False,2024-02-01
12,Michele Williams,1966-01-31,+234797933892,Nigeria,True,False,2021-12-29
13,Victoria Wyatt,1957-06-13,+233883488429,Ghana,True,False,2020-12-01
14,Jesse Flowers,1961-08-23,+234765715932,Nigeria,True,False,2026-03-06
15,Daniel Adams,1997-02-02,+234758952498,Nigeria,False,False,2019-08-18
16,Lisa Jackson,2000-03-11,+234708616842,Nigeria,False,False,2019-09-29
17,Joel Nelson,1994-02-16,+234852251235,Nigeria,False,False,2026-05-08
18,Colleen Nguyen,2002-11-10,+234872564235,Nigeria,True,True,2021-10-07
19,Crystal Johnson,1972-01-16,+233844680614,Ghana,True,False,2025-07-18
20,Austin Gentry,1989-03-04,+234758873467,Nigeria,False,True,2024-07-14
21,Emily Rios,1977-07-01,+234712647705,Nigeria,False,True,2020-10-17
22,Maria Thomas,1960-01-29,+233813322702,Ghana,True,False,2025-09-06
23,Justin Baker,1990-05-10,+254842033050,Kenya,True,False,2019-02-17
24,Kevin Cox,1959-12-28,+234730749748,Nigeria,False,False,2021-12-28
25,Ann Williams,1958-01-14,+233791315158,Ghana,True,False,2024-02-02
26,Christopher Becker,1991-02-28,+234893835111,Nigeria,False,True,2024-08-12
27,James Ferrell,1986-08-01,+233836279761,Ghana,False,False,2022-05-07
28,Juan Dunlap,1996-11-13,+233836274717,Ghana,True,True,2020-10-23
29,Melanie Herrera,1968-09-24,+234909010952,Nigeria,False,False,2025-09-19
30,Gina Carter,1961-05-04,+234705228248,Nigeria,True,False,2022-06-13
31,Troy Liu,1968-07-01,+234764658474,Nigeria,False,False,2019-12-17
32,Pamela Romero,1957-10-25,+233718579092,Ghana,False,False,2020-05-30
33,Elizabeth Fowler,1992-01-07,+234827582641,Nigeria,False,True,2024-12-01
34,James Martin,2003-07-24,+233813585225,Ghana,False,False,2021-04-03
35,Tamara George,1983-10-29,+233807103679,Ghana,False,False,2023-11-30
36,Timothy Koch,2007-03-04,+233821194888,Ghana,True,True,2022-10-16
37,Cynthia Allen,1989-03-08,+234848692176,Nigeria,True,True,2019-10-18
38,Angelica Tucker,1955-04-15,+233715803806,Ghana,True,False,2022-09-15
39,Kim Martinez,1995-06-22,+234763888882,Nigeria,True,False,2025-01-17
40,Joshua Baker,1991-11-08,+234853288213,Nigeria,True,True,2024-04-21
41,Daniel Ryan,2000-03-31,+233751112773,Ghana,True,False,2022-12-22
42,Michelle Ross,1996-04-13,+234825365979,Nigeria,False,True,2026-04-30
43,Jessica Holmes,1958-10-23,+254726418846,Kenya,True,False,2020-03-23
44,Austin Smith,1988-04-08,+234751058814,Nigeria,True,True,2021-01-21
45,Daniel Jones,1993-07-10,+234767056907,Nigeria,False,True,2025-03-04
46,Austin Johnson,1973-01-22,+234875058811,Nigeria,False,False,2020-01-18
47,David Caldwell,1965-02-25,+254763452636,Kenya,True,False,2021-05-25
48,Miranda Khan,1989-10-14,+233715739821,Ghana,True,True,2023-05-19
49,Richard Aguirre,1963-07-14,+234822140379,Nigeria,True,False,2025-03-26
50,Matthew Gomez,1978-07-21,+234830639863,Nigeria,True,True,2019-08-28
51,Nicholas Nunez,1994-07-19,+234845544417,Nigeria,True,False,2019-07-25
52,James Morgan,1958-01-04,+234834982870,Nigeria,False,False,2019-08-21
53,Connor West,1979-04-14,+254721504757,Kenya,False,True,2019-10-06
54,Joel Baxter,1955-09-15,+234763137065,Nigeria,True,False,2025-05-22
55,Scott Pierce,1954-01-07,+234859590021,Nigeria,True,True,2026-05-16
56,Kimberly Smith,1956-12-03,+234840333417,Nigeria,True,True,2022-07-10
57,Sarah Martin,1983-08-16,+234806242954,Nigeria,True,False,2024-02-16
58,Dr. Steven Martin,1950-09-21,+234901827087,Nigeria,False,True,2025-12-19
59,Mrs. Rachel Gibson,1979-05-12,+254726838513,Kenya,True,True,2021-12-22
60,Monica Logan,1995-08-13,+234793686345,Nigeria,False,False,2023-02-22
61,Brittney Phillips,1954-07-22,+234817624274,Nigeria,False,False,2025-11-10
62,Kimberly Adkins,1954-06-19,+254875550430,Kenya,True,False,2025-03-21
63,John Calhoun,1986-09-20,+234878077052,Nigeria,True,False,2021-12-19
64,Tyler Miller,1963-03-22,+234728732250,Nigeria,False,True,2022-02-28
65,Barry Hensley,1978-01-19,+234892632554,Nigeria,True,False,2021-12-17
66,Steve Sanchez,1991-01-12,+234767409847,Nigeria,False,False,2020-01-14
67,Bradley Sandoval,1989-01-14,+234774270783,Nigeria,True,False,2020-06-19
68,Taylor Harris,1999-04-25,+234770318081,Nigeria,True,False,2023-10-18
69,Derek Anderson,1994-07-03,+234730030916,Nigeria,True,False,2020-09-02
70,Eugene Walton,1955-07-07,+234799110661,Nigeria,True,True,2020-06-06
71,Marc Hart,1957-05-19,+234797885394,Nigeria,False,False,2019-06-13
72,Daniel Baker,1974-04-29,+233756391990,Ghana,False,False,2022-12-19
73,Sherry Wood,1961-04-23,+233809086099,Ghana,False,False,2021-08-27
74,Joshua Turner,2005-07-01,+233747527133,Ghana,False,True,2022-09-22
75,Aimee Montoya,1970-12-13,+233810518410,Ghana,False,False,2021-10-13
76,Ashley Humphrey,1968-07-28,+234888247930,Nigeria,True,False,2024-04-11
77,Brian Tran,1969-02-09,+234823561709,Nigeria,True,False,2021-07-21
78,Daniel Cooper,1997-05-11,+234877176309,Nigeria,True,False,2019-10-12
79,Deborah Freeman,2008-02-26,+254774927045,Kenya,True,False,2025-01-05
80,Mark Calderon,1953-07-29,+234707408963,Nigeria,True,False,2021-01-01
81,Ray Walsh,1968-05-26,+234771260584,Nigeria,True,False,2022-11-16
82,Jeremy Thornton,1988-09-29,+233784202113,Ghana,True,False,2020-04-18
83,Benjamin Ware,1960-09-19,+234854776674,Nigeria,True,True,2023-11-22
84,Sandra Aguilar,1960-08-26,+234844539606,Nigeria,False,False,2021-03-18
85,Andrew Diaz,2004-10-01,+234718783450,Nigeria,False,False,2025-12-27
86,Amanda Howard,1996-12-27,+234733453853,Nigeria,False,False,2022-06-20
87,Brian Deleon,1978-03-25,+234787559056,Nigeria,True,True,2020-06-05
88,Nicole Frost,1966-09-08,+234878490634,Nigeria,False,False,2020-12-13
89,Vanessa Cochran,1978-08-19,+234780785617,Nigeria,True,False,2022-05-29
90,Norman Cook,1978-08-05,+234815397220,Nigeria,False,False,2022-08-12
91,Sharon Cochran,1968-09-24,+234818691366,Nigeria,False,False,2020-11-26
92,Michael Reyes,1953-03-18,+234776178333,Nigeria,True,False,2022-10-04
93,Courtney Velasquez,1981-11-24,+234901632108,Nigeria,True,False,2021-03-26
94,Robert Savage,1965-09-29,+234712405401,Nigeria,True,False,2019-10-26
95,Corey Murphy,1955-04-20,+234869051357,Nigeria,True,False,2023-04-22
96,Diana May,1977-10-10,+234765494075,Nigeria,True,False,2020-03-12
97,Sarah Rivera,1952-06-15,+233758744720,Ghana,True,False,2024-10-22
98,Wesley White,1968-08-22,+234849627479,Nigeria,True,False,2024-02-13
99,Kyle Reed,2004-02-03,+234824726719,Nigeria,False,False,2025-09-04
100,Larry Dixon,1976-10-15,+234902735881,Nigeria,False,False,2024-08-29
101,Cheryl Williams,1980-04-01,+234847068257,Nigeria,True,True,2024-04-28
102,Timothy Ryan,1999-07-14,+234901803544,Nigeria,True,False,2024-11-05
103,Nancy Gonzalez,1979-12-04,+234764222073,Nigeria,True,True,2022-03-16
