employee_id,full_name,division_id,role_title,employment_status,hire_date,reports_to,created_date
1,Timothy Walker,retail,Regional Retail Lead,active,2020-05-02,,2026-07-30T00:16:10.868850
2,Taylor Watkins,retail,Regional Retail Lead,active,2018-11-07,,2026-07-30T00:16:10.869102
3,Samantha Gutierrez,retail,Regional Retail Lead,active,2018-06-10,,2026-07-30T00:16:10.869316
4,Theodore Odonnell,retail,Stock Clerk,active,2021-12-23,,2026-07-30T00:16:10.869528
5,Kristina Bray,retail,Store Manager,active,2020-03-11,1,2026-07-30T00:16:10.869743
6,Julie Smith,retail,Store Manager,active,2017-11-10,3,2026-07-30T00:16:10.869956
7,Chad Harrison,retail,Stock Clerk,active,2025-12-22,1,2026-07-30T00:16:10.870163
8,Tina Callahan,retail,Store Manager,active,2024-05-19,3,2026-07-30T00:16:10.870379
9,Teresa Nelson,retail,Regional Retail Lead,active,2025-07-18,,2026-07-30T00:16:10.870584
10,Austin Cooper,retail,Stock Clerk,active,2020-06-21,7,2026-07-30T00:16:10.870788
11,Alexander Klein,retail,Cashier,active,2025-08-19,8,2026-07-30T00:16:10.870991
12,Danielle Brewer,retail,Cashier,active,2024-06-05,4,2026-07-30T00:16:10.871197
13,John Griffith,retail,Store Manager,active,2024-11-27,1,2026-07-30T00:16:10.871399
14,Stephanie Mccullough,retail,Cashier,active,2023-03-24,12,2026-07-30T00:16:10.871583
15,Gordon Walker,retail,Store Manager,active,2021-10-15,9,2026-07-30T00:16:10.871745
16,Edward Johnson,retail,Stock Clerk,active,2024-11-24,,2026-07-30T00:16:10.871905
17,William Ray,retail,Stock Clerk,active,2016-09-16,3,2026-07-30T00:16:10.872069
18,Andrea Maddox,retail,Regional Retail Lead,active,2018-09-16,3,2026-07-30T00:16:10.872239
19,Angela King,retail,Regional Retail Lead,active,2021-10-29,1,2026-07-30T00:16:10.872404
20,Joshua Anderson,retail,Store Manager,active,2020-05-31,5,2026-07-30T00:16:10.872566
21,Zachary Hill,retail,Cashier,active,2025-02-22,17,2026-07-30T00:16:10.872728
22,Lori Lutz,retail,Cashier,active,2024-02-08,19,2026-07-30T00:16:10.872894
23,Christopher Ryan,retail,Regional Retail Lead,active,2018-09-18,4,2026-07-30T00:16:10.873072
24,Timothy Hernandez,retail,Cashier,on_leave,2016-02-28,9,2026-07-30T00:16:10.873222
25,Matthew Hodges,retail,Store Manager,active,2021-09-13,2,2026-07-30T00:16:10.873371
26,William Velazquez,retail,Cashier,active,2022-01-09,1,2026-07-30T00:16:10.873521
27,Susan Brown,retail,Regional Retail Lead,active,2018-12-27,3,2026-07-30T00:16:10.873673
28,Andrew Peck,retail,Stock Clerk,active,2021-07-14,8,2026-07-30T00:16:10.873823
29,Christine Miller,retail,Cashier,active,2018-09-01,,2026-07-30T00:16:10.873973
30,Karla Hansen,retail,Cashier,active,2016-08-21,3,2026-07-30T00:16:10.874125
31,Michelle Moss,retail,Cashier,active,2016-05-05,,2026-07-30T00:16:10.874281
32,Barbara Christian DDS,retail,Regional Retail Lead,active,2016-08-25,2,2026-07-30T00:16:10.874444
33,Lisa Massey,retail,Cashier,active,2020-12-04,20,2026-07-30T00:16:10.874597
34,Dana Rodriguez,retail,Stock Clerk,active,2025-05-31,27,2026-07-30T00:16:10.874747
35,Candace Turner,retail,Regional Retail Lead,active,2020-08-31,5,2026-07-30T00:16:10.874896
36,Bryan Petersen,retail,Cashier,active,2017-12-29,30,2026-07-30T00:16:10.875044
37,Gary Mckay,retail,Stock Clerk,active,2022-11-10,20,2026-07-30T00:16:10.875191
38,Tamara Davis,retail,Regional Retail Lead,active,2021-03-28,13,2026-07-30T00:16:10.875343
39,Jamie Howard,retail,Store Manager,active,2017-09-15,35,2026-07-30T00:16:10.875495
40,Rachel Avila,retail,Store Manager,active,2017-11-29,3,2026-07-30T00:16:10.875645
41,Kevin Harrison,retail,Cashier,active,2024-06-06,18,2026-07-30T00:16:10.875795
42,Ryan Wade,retail,Store Manager,active,2019-01-13,30,2026-07-30T00:16:10.875945
43,Hannah Peterson,retail,Stock Clerk,active,2018-09-16,28,2026-07-30T00:16:10.876094
44,James Rogers,retail,Cashier,terminated,2017-10-07,23,2026-07-30T00:16:10.876249
45,Christine Perez,retail,Stock Clerk,active,2022-08-09,29,2026-07-30T00:16:10.876402
46,Jeffrey Bishop,retail,Store Manager,active,2017-09-27,,2026-07-30T00:16:10.876548
47,Stacy Cantu,retail,Regional Retail Lead,active,2017-11-08,18,2026-07-30T00:16:10.876700
48,John Parker,retail,Store Manager,active,2026-01-23,,2026-07-30T00:16:10.876855
49,Howard Cross,retail,Stock Clerk,active,2023-04-30,10,2026-07-30T00:16:10.877004
50,Tara Smith,retail,Stock Clerk,active,2019-04-13,9,2026-07-30T00:16:10.877153
51,Robert Perez,retail,Regional Retail Lead,active,2023-04-20,23,2026-07-30T00:16:10.877301
52,Brad Mcgee,retail,Cashier,active,2020-05-26,39,2026-07-30T00:16:10.877450
53,Taylor Bowman,retail,Stock Clerk,active,2026-06-29,28,2026-07-30T00:16:10.877602
54,Randy Scott,retail,Regional Retail Lead,active,2024-06-04,39,2026-07-30T00:16:10.877751
55,Sandy Williams,retail,Stock Clerk,active,2020-07-14,19,2026-07-30T00:16:10.877902
56,Gerald Kaufman DDS,retail,Store Manager,active,2020-12-16,48,2026-07-30T00:16:10.878062
57,Kevin Crawford,retail,Regional Retail Lead,on_leave,2024-03-21,50,2026-07-30T00:16:10.878216
58,James Taylor,retail,Store Manager,active,2016-05-25,54,2026-07-30T00:16:10.878366
59,Lindsey Charles,retail,Cashier,active,2024-09-06,30,2026-07-30T00:16:10.878518
60,Mrs. Jessica Joseph,retail,Cashier,active,2019-09-06,18,2026-07-30T00:16:10.878680
61,Carlos Berry,retail,Regional Retail Lead,active,2023-06-01,12,2026-07-30T00:16:10.878828
62,Joseph Mcfarland,retail,Cashier,active,2026-04-25,58,2026-07-30T00:16:10.878977
63,Alicia Hart,retail,Stock Clerk,active,2019-03-10,45,2026-07-30T00:16:10.879128
64,Sandra Morris,retail,Regional Retail Lead,active,2025-09-18,,2026-07-30T00:16:10.879277
65,Jean Baker,retail,Stock Clerk,active,2023-09-10,61,2026-07-30T00:16:10.879429
66,Brenda Cantu,retail,Cashier,active,2022-02-14,50,2026-07-30T00:16:10.879580
67,Casey Cummings,retail,Stock Clerk,active,2023-04-29,30,2026-07-30T00:16:10.879743
68,Dawn Santos,retail,Regional Retail Lead,active,2025-11-08,24,2026-07-30T00:16:10.879896
