driver_id,employee_id,licence_number,licence_expiry
1,635,DL-3993741,2028-03-22
2,733,DL-3894619,2026-05-26
3,841,DL-6676456,2027-07-13
4,803,DL-9187244,2026-01-13
5,613,DL-1068863,2026-02-21
6,800,DL-7854751,2026-06-30
7,693,DL-8270299,2028-05-18
8,618,DL-8503167,2027-10-30
9,736,DL-4619072,2029-09-10
10,819,DL-7535667,2027-07-20
11,763,DL-2874062,2029-01-11
12,633,DL-6824223,2029-05-20
13,842,DL-9788836,2028-01-02
14,851,DL-6609020,2027-05-30
15,677,DL-7744271,2029-12-29
16,705,DL-0278189,2029-07-06
17,668,DL-5853099,2027-05-20
18,833,DL-9183977,2029-01-04
19,603,DL-4249154,2027-08-02
20,742,DL-1659170,2027-11-10
21,719,DL-8939646,2029-03-13
22,772,DL-8756644,2027-11-15
23,829,DL-9527175,2029-09-21
24,895,DL-9730529,2029-01-06
25,825,DL-2197576,2027-04-18
26,855,DL-7634428,2028-06-12
27,893,DL-1762002,2026-11-13
28,649,DL-1510035,2026-01-20
29,758,DL-8205208,2028-04-12
30,762,DL-0804625,2029-03-24
31,796,DL-4111735,2026-08-23
32,691,DL-2436269,2027-08-11
33,898,DL-6526621,2027-08-09
34,695,DL-8388432,2029-05-02
35,745,DL-4144125,2027-04-11
36,866,DL-1043929,2027-06-27
37,767,DL-0203312,2026-04-06
38,655,DL-6004551,2026-01-12
39,867,DL-4762395,2026-05-25
40,863,DL-7723581,2027-07-25
41,858,DL-1690048,2027-07-17
42,651,DL-3336471,2029-06-30
43,834,DL-0196373,2028-08-02
44,674,DL-8167750,2026-01-06
45,891,DL-5253374,2027-06-27
46,775,DL-6707728,2028-05-07
47,688,DL-2739856,2029-05-30
48,821,DL-1624847,2028-02-09
49,850,DL-5573741,2026-08-27
50,667,DL-1348851,2028-07-21
51,856,DL-4111481,2029-11-19
52,848,DL-1588416,2028-10-28
53,723,DL-1972233,2029-06-29
54,822,DL-4860385,2029-12-02
55,865,DL-9414933,2028-11-02
56,660,DL-8680063,2029-06-04
57,714,DL-5200533,2028-02-28
58,639,DL-1416489,2028-05-30
59,753,DL-4030573,2028-03-29
60,608,DL-1780650,2029-07-25
61,790,DL-4025136,2026-02-01
62,726,DL-7117655,2026-10-12
63,686,DL-3982208,2028-06-21
64,779,DL-4300978,2027-04-17
65,857,DL-2118499,2027-09-18
66,878,DL-1965911,2028-12-23
67,847,DL-9896991,2026-03-01
68,797,DL-9334512,2027-08-31
69,900,DL-6357029,2029-07-09
70,820,DL-7767339,2026-01-17
71,746,DL-3937283,2029-07-15
72,794,DL-7906291,2026-01-11
73,729,DL-8665212,2026-03-16
74,712,DL-4462019,2028-05-03
75,604,DL-3143038,2029-10-19
76,707,DL-1356510,2027-08-08
77,875,DL-3335819,2027-07-18
78,734,DL-7354166,2027-09-25
79,650,DL-3492893,2027-01-14
80,894,DL-0351517,2027-03-22
81,680,DL-3806776,2028-11-18
82,828,DL-4185224,2029-02-24
83,672,DL-5379881,2028-10-24
84,752,DL-9393449,2028-07-09
85,826,DL-2272697,2026-02-11
86,616,DL-4792439,2029-06-20
87,645,DL-0090023,2027-10-30
88,610,DL-2384434,2027-01-12
89,624,DL-6961182,2027-12-10
90,757,DL-4018890,2026-05-01
91,658,DL-4445955,2028-09-08
92,787,DL-2477211,2028-01-30
93,718,DL-0248197,2027-04-13
94,735,DL-6575824,2028-04-27
95,840,DL-3072586,2026-10-06
96,701,DL-7053448,2029-09-07
97,859,DL-6959354,2027-05-09
98,715,DL-9467193,2026-05-07
99,853,DL-4661094,2028-09-09
100,663,DL-3626228,2026-03-15
101,657,DL-6772621,2026-05-27
102,738,DL-1985958,2026-10-24
103,621,DL-8968958,2026-08-03
104,874,DL-0020542,2026-03-28
105,643,DL-8573489,2027-02-18
106,606,DL-8205199,2027-07-12
107,827,DL-3594456,2029-09-12
108,625,DL-8507063,2026-05-30
109,782,DL-3864786,2027-06-05
110,681,DL-6240796,2026-11-21
111,786,DL-0205813,2028-04-17
112,870,DL-6628469,2028-03-15
113,692,DL-1027655,2028-12-09
114,756,DL-4231593,2029-05-02
115,780,DL-2082661,2027-10-13
116,704,DL-9314594,2027-01-07
117,669,DL-3702419,2029-01-05
118,703,DL-9366137,2029-08-03
119,699,DL-5514877,2029-03-21
120,611,DL-5914702,2028-02-29
121,766,DL-5108547,2029-10-22
122,873,DL-1766466,2029-07-06
123,764,DL-9358827,2027-09-24
124,889,DL-3363552,2026-04-21
125,632,DL-8120404,2027-11-25
126,768,DL-9715709,2029-07-17
127,813,DL-9199244,2028-02-06
128,722,DL-9543352,2027-01-14
129,615,DL-7344127,2028-12-19
130,659,DL-5198642,2026-03-18
131,601,DL-5238906,2029-12-27
132,793,DL-0535873,2029-03-15
133,647,DL-8320668,2027-01-24
134,776,DL-4574484,2027-07-03
135,881,DL-1047454,2029-08-02
136,789,DL-8562292,2026-12-04
137,843,DL-3465209,2027-04-21
138,646,DL-6040569,2026-12-16
139,675,DL-5566884,2029-09-11
140,862,DL-4413789,2029-07-06
141,899,DL-1552445,2027-07-23
142,804,DL-6515364,2028-01-23
143,619,DL-2796597,2026-10-20
144,765,DL-0108928,2029-05-15
145,876,DL-4661010,2026-05-27
146,835,DL-8435914,2028-08-16
147,801,DL-3474644,2028-04-01
148,836,DL-1287089,2026-08-11
149,815,DL-5283499,2029-06-20
150,852,DL-2325168,2026-12-03
151,665,DL-5246441,2026-11-30
152,716,DL-3190449,2028-11-30
153,661,DL-7495612,2028-04-20
154,773,DL-1307268,2027-09-24
155,698,DL-1729825,2026-12-10
156,845,DL-3006792,2029-07-11
157,823,DL-1210758,2027-06-30
158,744,DL-6871997,2027-03-09
159,759,DL-6782065,2029-05-20
160,739,DL-2320818,2026-02-17
161,685,DL-4104326,2029-03-18
162,890,DL-7881205,2027-05-05
163,760,DL-2469269,2028-05-28
164,755,DL-4764116,2026-11-20
165,854,DL-4609156,2026-02-21
166,653,DL-9016335,2027-07-19
167,684,DL-4813417,2027-03-10
168,748,DL-2665089,2026-09-03
169,844,DL-8534444,2026-03-05
170,721,DL-8763854,2028-05-06
171,708,DL-2055339,2029-07-29
172,737,DL-2512349,2027-12-04
173,656,DL-4552307,2027-11-16
174,644,DL-6639279,2028-04-26
175,679,DL-3178229,2028-11-22
176,892,DL-2758275,2026-02-24
177,816,DL-6561911,2029-06-13
178,732,DL-7881871,2029-01-28
179,730,DL-3185305,2026-05-18
180,683,DL-8965752,2028-07-10
181,839,DL-4290092,2029-09-18
182,648,DL-9645156,2027-12-16
183,812,DL-9615870,2026-06-20
184,808,DL-9694267,2027-07-04
185,612,DL-2627667,2026-04-03
186,617,DL-6679166,2027-04-24
187,806,DL-4005457,2027-04-24
188,799,DL-0349711,2027-02-20
189,702,DL-0034639,2027-06-21
190,761,DL-6859028,2026-07-22
191,728,DL-9187571,2029-03-05
192,609,DL-4622479,2026-12-06
193,607,DL-1248172,2029-09-26
194,871,DL-6686355,2029-07-18
195,754,DL-3398517,2029-06-18
196,849,DL-6657116,2027-11-14
197,802,DL-2160982,2028-04-15
198,814,DL-2979963,2026-07-03
199,897,DL-4208164,2028-08-23
200,664,DL-7621986,2027-08-08
201,614,DL-6728016,2026-12-17
202,818,DL-7770156,2027-09-13
203,810,DL-6665533,2027-11-01
204,791,DL-4979144,2029-03-27
205,642,DL-9870274,2026-04-30
206,741,DL-3676419,2026-09-03
207,711,DL-8128878,2029-02-15
208,861,DL-8939360,2029-01-07
209,687,DL-2953742,2027-10-31
210,628,DL-3085980,2026-08-21
211,830,DL-7189511,2028-05-27
212,709,DL-2725196,2029-05-11
213,622,DL-3733540,2029-04-05
214,824,DL-9881263,2027-01-07
215,877,DL-0663729,2029-07-04
216,805,DL-3321199,2026-02-28
217,817,DL-3207996,2027-06-01
218,725,DL-8537195,2029-04-17
219,700,DL-1964260,2029-10-18
220,638,DL-4656414,2029-12-16
221,774,DL-1428819,2029-09-14
222,838,DL-8682527,2028-11-28
223,670,DL-2903142,2028-02-09
224,682,DL-9391061,2029-07-10
225,717,DL-3986814,2027-12-03
226,602,DL-9767377,2028-04-24
227,783,DL-2643995,2029-03-22
228,740,DL-8238407,2026-04-08
229,623,DL-6972727,2026-06-27
230,798,DL-8580348,2029-06-14
231,885,DL-1376005,2029-03-18
232,886,DL-5187411,2028-11-29
233,846,DL-3282319,2028-06-10
234,731,DL-2365527,2029-09-30
235,832,DL-9798140,2028-03-14
236,654,DL-0156735,2029-08-05
237,784,DL-9774238,2028-08-24
238,788,DL-7153412,2027-01-03
239,887,DL-2250539,2027-03-03
240,696,DL-9668802,2028-06-11
241,605,DL-6683108,2028-03-27
242,678,DL-1637420,2026-06-28
243,697,DL-8152173,2028-11-07
244,626,DL-7437622,2029-12-09
245,634,DL-4705548,2027-04-06
246,637,DL-5581810,2029-10-14
247,720,DL-2546016,2026-05-14
248,747,DL-5374507,2028-02-14
249,640,DL-8674498,2029-09-29
250,869,DL-2429485,2026-03-30
251,,DL-3437888,2029-07-28
252,,DL-7582579,2026-07-08
253,,DL-1510661,2026-09-01
254,,DL-1583878,2028-01-04
255,,DL-3712670,2028-05-24
256,,DL-6492757,2028-11-16
257,,DL-7940443,2028-05-23
258,,DL-2082463,2028-03-19
259,,DL-3284909,2029-09-08
260,,DL-1800861,2026-01-30
261,,DL-2544503,2028-08-08
262,,DL-7835532,2029-04-01
263,,DL-8690147,2027-08-11
264,,DL-9442590,2026-01-07
265,,DL-3780933,2028-11-13
266,,DL-7584617,2028-12-02
267,,DL-1306465,2027-03-05
268,,DL-7220984,2028-05-20
269,,DL-4434495,2028-06-10
270,,DL-0022768,2029-03-20
